txn_id,date,account_id,counterparty,description,amount,currency
TXN-9170-0002,2025-01-01,ACC-9170,Eastgate Supply Ltd (Shymkent depot),"Motor third-party insurance — Ekibastuz block B, November",-3956336.58,EUR
TXN-9862-0032,2025-01-01,ACC-9862,Ashford Printing Solutions (Kyzylorda station),"Construction all-risk insurance — Zhezkazgan compound, Q1 2024",-3673528.27,USD
TXN-9874-0028,2025-01-01,ACC-9874,Juniper Uniforms Co,Environmental emissions tax — Atyrau terminal 2024,-9478734.56,USD
TXN-J3-0035,2025-01-01,ACC-7603,Ashford Power LP,"Printed marketing collateral run — Astana branch, instalment 2",-7939597.89,USD
TXN-X1-0065,2025-01-01,ACC-7830,Fairfield Leasing Partners Service Centre,Rent overpayment refunded — Uralsk annex 2024,1513012.83,USD
TXN-X2-0033,2025-01-01,ACC-7831,Foxridge Cleaning Co (Zhezkazgan compound),"Interest on export credit line — Turkistan point, period 01 2026",-316200.51,USD
TXN-F3-0023,2025-01-02,ACC-7303,Acme Office Supplies Company,"Telecom leased line — Atyrau terminal, December",-225302.35,USD
TXN-G1-0050,2025-01-03,ACC-7401,Foxridge Waste Systems Associates (Zhezkazgan compound),Office rent — Uralsk annex 2026,-1022094.83,USD
TXN-H2-0042,2025-01-03,ACC-7502,Ashford Logistics LP (Zhezkazgan compound),"Product launch ad campaign — Almaty office, period 03",-424944.44,USD
TXN-S1-0050,2025-01-03,ACC-7001,Ironwood Tax Advisory Inc Holding,Withholding tax remittance — Turkistan point 2024,-6502306.66,USD
TXN-9203-0036,2025-01-04,ACC-9203,Glenwood Office Supplies Services Group,"Broadband telecom invoice — Kyzylorda station, May 2025",-33553136.33,USD
TXN-G3-0041,2025-01-04,ACC-7403,Kingsley Insurance Associates Trading House,"Electricity metering correction credit — Ekibastuz block B, July 2026",5386787.43,USD
TXN-J3-0010,2025-01-04,ACC-7603,Ironwood Supply Associates (Pavlodar block),"Credit facility interest — Taraz site, instalment 1",-406694.17,USD
TXN-J6-0019,2025-01-04,ACC-7606,Foxridge Security Services LLP,Unearned insurance premium return — H1 2024,1371618.29,USD
TXN-X1-0051,2025-01-04,ACC-7830,Eastgate Power Inc (Zhezkazgan compound),Fidelity bond insurance — April 2024,-481626.10,USD
TXN-X2-0046,2025-01-04,ACC-7831,Hartley Uniforms LP Holding (Semey base),Marketing research panel subscription — Semey base,-262461.43,USD
TXN-9699-0006,2025-01-05,ACC-9699,Ironwood Realty Services (Karaganda yard),"Payroll for night shift — Ekibastuz block B, H2",-124558529.23,USD
TXN-B3-0039,2025-01-05,ACC-7203,Glenwood Supply LLC,Water charge adjustment credit — final call,1136446.76,USD
